region,labelSubject,labelObject
Axial skeleton,Atlas,Axis
Axial skeleton,Atlas,Occipital bone
Axial skeleton,Axis,Third cervical vertebra
Axial skeleton,Axis,Atlas
Axial skeleton,Coccyx,Sacrum
Skeleton of left lower limb,Distal phalanx of left big toe,Proximal phalanx of left big toe
Skeleton of left lower limb,Distal phalanx of left fourth toe,Middle phalanx of left fourth toe
Skeleton of left upper limb,Distal phalanx of left index finger,Middle phalanx of left index finger
Skeleton of left upper limb,Distal phalanx of left little finger,Middle phalanx of left little finger
Skeleton of left lower limb,Distal phalanx of left little toe,Middle phalanx of left little toe
Skeleton of left upper limb,Distal phalanx of left middle finger,Middle phalanx of left middle finger
Skeleton of left upper limb,Distal phalanx of left ring finger,Middle phalanx of left ring finger
Skeleton of left lower limb,Distal phalanx of left second toe,Middle phalanx of left second toe
Skeleton of left lower limb,Distal phalanx of left third toe,Middle phalanx of left third toe
Skeleton of left upper limb,Distal phalanx of left thumb,Proximal phalanx of left thumb
Skeleton of right lower limb,Distal phalanx of right big toe,Proximal phalanx of right big toe
Skeleton of right lower limb,Distal phalanx of right fourth toe,Middle phalanx of right fourth toe
Skeleton of right upper limb,Distal phalanx of right index finger,Middle phalanx of right index finger
Skeleton of right upper limb,Distal phalanx of right little finger,Middle phalanx of right little finger
Skeleton of right lower limb,Distal phalanx of right little toe,Middle phalanx of right little toe
Skeleton of right upper limb,Distal phalanx of right middle finger,Middle phalanx of right middle finger
Skeleton of right upper limb,Distal phalanx of right ring finger,Middle phalanx of right ring finger
Skeleton of right lower limb,Distal phalanx of right second toe,Middle phalanx of right second toe
Skeleton of right lower limb,Distal phalanx of right third toe,Middle phalanx of right third toe
Skeleton of right upper limb,Distal phalanx of right thumb,Proximal phalanx of right thumb
Axial skeleton,Eighth thoracic vertebra,Left eighth rib
Axial skeleton,Eighth thoracic vertebra,Seventh thoracic vertebra
Axial skeleton,Eighth thoracic vertebra,Right eighth rib
Axial skeleton,Eighth thoracic vertebra,Ninth thoracic vertebra
Axial skeleton,Eleventh thoracic vertebra,Left eleventh rib
Axial skeleton,Eleventh thoracic vertebra,Right eleventh rib
Axial skeleton,Eleventh thoracic vertebra,Twelfth thoracic vertebra
Axial skeleton,Eleventh thoracic vertebra,Tenth thoracic vertebra
Axial skeleton,Ethmoid,Sphenoid bone
Axial skeleton,Ethmoid,Left palatine bone
Axial skeleton,Ethmoid,Left lacrimal bone
Axial skeleton,Ethmoid,Right inferior nasal concha
Axial skeleton,Ethmoid,Left maxilla
Axial skeleton,Ethmoid,Right nasal bone
Axial skeleton,Ethmoid,Left inferior nasal concha
Axial skeleton,Ethmoid,Right palatine bone
Axial skeleton,Ethmoid,Frontal bone
Axial skeleton,Ethmoid,Right maxilla
Axial skeleton,Ethmoid,Vomer
Axial skeleton,Ethmoid,Right lacrimal bone
Axial skeleton,Ethmoid,Left nasal bone
Axial skeleton,Fifth cervical vertebra,Fourth cervical vertebra
Axial skeleton,Fifth cervical vertebra,Sixth cervical vertebra
Axial skeleton,Fifth lumbar vertebra,Fourth lumbar vertebra
Axial skeleton,Fifth lumbar vertebra,Sacrum
Axial skeleton,Fifth thoracic vertebra,Left fifth rib
Axial skeleton,Fifth thoracic vertebra,Right fifth rib
Axial skeleton,Fifth thoracic vertebra,Sixth thoracic vertebra
Axial skeleton,Fifth thoracic vertebra,Fourth thoracic vertebra
Axial skeleton,First lumbar vertebra,Twelfth thoracic vertebra
Axial skeleton,First lumbar vertebra,Second lumbar vertebra
Axial skeleton,First thoracic vertebra,Second thoracic vertebra
Axial skeleton,First thoracic vertebra,Left first rib
Axial skeleton,First thoracic vertebra,Seventh cervical vertebra
Axial skeleton,First thoracic vertebra,Right first rib
Axial skeleton,Fourth cervical vertebra,Fifth cervical vertebra
Axial skeleton,Fourth cervical vertebra,Third cervical vertebra
Axial skeleton,Fourth lumbar vertebra,Fifth lumbar vertebra
Axial skeleton,Fourth lumbar vertebra,Third lumbar vertebra
Axial skeleton,Fourth thoracic vertebra,Third thoracic vertebra
Axial skeleton,Fourth thoracic vertebra,Right fourth rib
Axial skeleton,Fourth thoracic vertebra,Left fourth rib
Axial skeleton,Fourth thoracic vertebra,Fifth thoracic vertebra
Axial skeleton,Frontal bone,Sphenoid bone
Axial skeleton,Frontal bone,Left zygomatic bone
Axial skeleton,Frontal bone,Left lacrimal bone
Axial skeleton,Frontal bone,Right parietal bone
Axial skeleton,Frontal bone,Right zygomatic bone
Axial skeleton,Frontal bone,Left maxilla
Axial skeleton,Frontal bone,Right nasal bone
Axial skeleton,Frontal bone,Left parietal bone
Axial skeleton,Frontal bone,Right maxilla
Axial skeleton,Frontal bone,Right lacrimal bone
Axial skeleton,Frontal bone,Left nasal bone
Axial skeleton,Frontal bone,Ethmoid
Skeleton of left lower limb,Left calcaneus,Left cuboid bone
Skeleton of left lower limb,Left calcaneus,Left talus
Skeleton of left upper limb,Left capitate,Left trapezoid
Skeleton of left upper limb,Left capitate,Left second metacarpal bone
Skeleton of left upper limb,Left capitate,Left scaphoid
Skeleton of left upper limb,Left capitate,Left lunate
Skeleton of left upper limb,Left capitate,Left third metacarpal bone
Skeleton of left upper limb,Left capitate,Left fourth metacarpal bone
Skeleton of left upper limb,Left capitate,Left hamate
